      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     1.000     0.996       910     0.503    -0.065      31.9         0      57.1      46.6      51.2      54.3      8.84       0.8             0         1              0           4394            644        0.00        0.00
     0:050     1.000     0.996       910     0.555    -0.066      31.9        99      57.1      46.6      51.2      54.3      8.84       0.8             0         1              0           4394            644        0.00        0.00
     0:100     1.000     0.858       910     0.599    -0.066      31.9        94      57.1      46.6      51.2      54.3      8.84       0.8             0         1              0           4394            644        0.00        0.00
     0:150     1.000     0.854       910     0.614    -0.066      31.9        77      57.1      46.6      51.2      54.3      8.84       0.8             0         1              0           4394            644        0.00        0.00
     0:200     1.000     0.845       910     0.664    -0.064      31.9        97      57.1      46.6      51.2      54.3      8.84       0.8             0         1              0           4394            644        0.00        0.00
     0:250     0.998     0.828       910     0.725    -0.061      31.9       100      57.1      46.6      51.2      54.3      8.84       0.8             0         1              0           4394            644        0.00        0.00
     0:300     0.998     0.842       910     0.789    -0.060      31.9        64      57.1      46.6      51.2      54.3      8.84       0.8             0         1              0           4394            644        0.00        0.00
     0:350     0.998     0.852       910     0.852    -0.057      32.1        71      57.1      46.5      51.2      54.3      8.69       0.8             0         1              0           4394            644        0.00        0.00
     0:400     0.998     0.823       910     0.921    -0.053      31.9       123      57.1      46.5      51.2      54.3      8.69       1.0             0         1              0           4394            644        0.00        0.00
     0:450     0.996     0.819       910     0.997    -0.051      32.1       122      57.1      46.5      51.2      54.3      8.69       0.8             0         1              0           4394            644        0.00        0.00
     0:500     0.996     0.856       910     1.089    -0.050      32.1       102      57.1      46.5      51.2      54.3      8.69       1.0             0         1              0           4394            644        0.00        0.00
     0:550     0.995     0.861       910     1.202    -0.046      32.1       122      57.1      46.5      51.2      54.3      8.83       0.8             0         1              0           4394            644        0.00        0.00
     0:600     0.995     0.861       910     1.321    -0.046      31.9        99      57.1      46.5      51.2      54.3      8.83       0.8             0         1              0           4394            644        0.00        0.00
     0:650     0.998     0.884       910     1.452    -0.048      31.9       491      57.1      46.5      51.2      54.3      8.83       1.0             0         1              0           4394            644        0.00        0.00
     0:700     0.998     0.863       910     1.598    -0.046      31.9       562      57.1      46.5      51.2      54.3      8.83       0.8             0         1              0           4394            644        0.00        0.00
     0:750     0.999     0.873       910     1.756    -0.046      31.9      1077      57.1      46.4      51.2      54.3      9.11       0.8             0         1              0           4394            644        0.00        0.00
     0:800     0.999     0.898       910     1.927    -0.030      17.0      1374      57.1      46.4      51.2      54.3      9.11       1.0             0         1              0           4394            644        0.00        0.00
     0:850     1.003     0.916       910     2.113     0.016      16.8      1415      57.1      46.4      51.2      54.3      9.11       0.8             0         1              0           4394            644        0.00        0.00
