      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     1.000     1.000       911     3.640    -0.067      32.0        71      50.2      41.8      48.8      46.7     11.49       1.0             0         1              0           4428            664        0.00        0.00
     0:050     1.000     0.992       911     3.673    -0.070      32.0       106      50.2      41.8      48.8      46.7     11.49       1.0             0         1              0           4428            664        0.00        0.00
     0:100     1.000     0.893       911     3.356    -0.068      32.0        90      50.2      41.8      48.8      46.7      9.58       1.0             0         1              0           4428            664        0.00        0.00
     0:150     1.000     0.910       911     3.381    -0.068      32.0        91      50.2      41.8      48.8      46.7      9.58       1.1             0         1              0           4428            664        0.00        0.00
     0:200     1.000     0.916       911     3.471    -0.067      32.0        94      50.2      41.8      48.8      46.7      9.44       1.0             0         1              0           4428            664        0.00        0.00
     0:250     1.006     0.885       911     3.474    -0.067      32.0       112      50.2      41.8      48.8      46.7      9.44       1.0             0         1              0           4428            664        0.00        0.00
     0:300     1.010     0.894       911     3.485    -0.070      32.0        80      50.2      41.7      48.7      46.7      9.31       1.0             0         1              0           4428            664        0.00        0.00
     0:350     1.010     0.923       911     3.511    -0.069      32.0       119      50.2      41.7      48.7      46.7      9.31       1.0             0         1              0           4428            664        0.00        0.00
     0:400     1.016     0.892       911     3.494    -0.068      32.0       519      50.2      41.7      48.7      46.7      9.16       1.1             0         1              0           4428            664        0.00        0.00
     0:450     1.016     0.894       911     3.490    -0.068      32.0       493      50.2      41.7      48.7      46.7      9.16       1.0             0         1              0           4428            664        0.00        0.00
     0:500     1.021     0.944       911     3.537    -0.062      32.0       536      50.2      41.7      48.7      46.7      9.76       1.0             0         1              0           4428            664        0.00        0.00
     0:550     1.033     0.979       911     3.555    -0.056      32.0       610      50.2      41.7      48.7      46.7      9.76       1.0             0         1              0           4428            664        0.00        0.00
     0:600     1.033     0.992       911     3.570    -0.055      31.9       845      50.2      41.7      48.7      46.7     10.21       1.0             0         1              0           4428            664        0.00        0.00
     0:650     1.047     0.997       911     3.553    -0.042      29.8      1177      50.2      41.7      48.7      46.7     10.21       1.0             0         1              0           4428            664        0.00        0.00
     0:700     1.062     1.000       853     3.586    -0.019      17.3      1588      50.2      41.7      48.7      46.7     10.34       1.0             0         1              0           4428            664        0.00        0.00
     0:750     1.062     0.998       853     3.582     0.032      17.8      1790      50.2      41.7      48.7      46.7     10.34       1.0             0         1              0           4428            664        0.00        0.00
     0:800     1.074     0.998       853     3.589     0.147      21.1      1841      50.2      41.7      48.7      46.7     10.37       1.0             0         1              0           4428            664        0.00        0.00
     0:850     1.074     1.000       853     3.593     0.266      21.2      1825      50.2      41.7      48.7      46.7     10.37       1.0             0         1              0           4428            664        0.00        0.00
     0:900     1.089     1.000       853     3.590     0.332      20.3      1825      50.2      41.7      48.6      46.7     10.39       1.0             0         1              0           4428            664        0.00        0.00
     0:950     1.104     1.000       853     3.607     0.409      19.3      1786      50.2      41.7      48.6      46.7     10.39       1.1             0         1              0           4428            664        0.00        0.00
     1:000     1.104     1.000       853     3.639     0.828      19.3      1764      50.2      41.7      48.6      46.7     10.88       1.0             0         1              0           4428            664        0.00        0.00
     1:050     1.119     1.000       853     3.667     1.746      19.8      1712      50.2      41.7      48.6      46.7     10.88       1.0             0         1              0           4428            664        0.00        0.00
     1:100     1.133     1.000       853     3.670     2.849      20.2      1678      50.2      41.7      48.6      46.7     11.06       1.0             0         1              0           4428            664        0.00        0.00
     1:150     1.133     1.000       853     3.671     4.038      20.3      1626      50.2      41.7      48.6      46.7     11.06       1.0             0         1              0           4428            664        0.00        0.00
     1:200     1.148     1.000       437     3.680     4.647      20.3      1572      49.7      41.7      48.6      46.7     11.08       1.1             0         1              0           4428            664        0.00        0.00
     1:250     1.148     1.000       437     3.684     4.871      20.2      1572      49.7      41.7      48.6      46.7     11.08       1.0             0         1              0           4428            664        0.00        0.00
     1:300     1.163     1.000       437     3.661     4.994      20.1      1550      49.7      41.6      48.6      46.7     11.13       1.0             0         1              0           4428            664        0.00        0.00
     1:350     1.178     1.000       437     3.692     5.054      19.8      1544      49.7      41.6      48.6      46.7     11.13       1.1             0         1              0           4428            664        0.00        0.00
     1:400     1.178     1.000       437     3.703     5.018      19.8      1538      49.7      41.6      48.6      46.7     11.09       1.1             0         1              0           4428            664        0.00        0.00
     1:450     1.193     1.000       437     3.649     5.031      19.8      1536      49.7      41.6      48.6      46.7     11.09       1.0             0         1              0           4428            664        0.00        0.00
     1:500     1.200     1.000       437     3.686     5.051      20.0      1504      49.7      41.6      48.6      46.7     11.15       1.0             0         1              0           4428            664        0.00        0.00
     1:550     1.200     1.000       437     3.716     5.006      20.0      1519      49.7      41.6      48.6      46.7     11.15       1.1             0         1              0           4428            664        0.00        0.00
     1:600     1.200     1.000       437     3.696     5.035      20.1      1520      49.7      41.6      48.6      46.7     11.13       1.0             0         1              0           4428            664        0.00        0.00
     1:650     1.200     1.000       437     3.677     5.068      20.1      1549      49.7      41.6      48.6      46.7     11.13       1.0             0         1              0           4428            664        0.00        0.00
     1:700     1.200     1.000       501     3.643     5.030      20.1      1537      49.3      41.6      48.5      46.7     11.20       1.1             0         1              0           4428            664        0.00        0.00
     1:750     1.200     1.000       501     3.644     5.024      20.1      1536      49.3      41.6      48.5      46.7     11.20       1.0             0         1              0           4428            664        0.00        0.00
     1:800     1.200     1.000       501     3.699     5.041      20.1      1549      49.3      41.6      48.5      46.7     11.15       1.0             0         1              0           4428            664        0.00        0.00
     1:850     1.200     1.000       501     3.698     5.052      20.0      1563      49.3      41.6      48.5      46.7     11.15       1.0             0         1              0           4428            664        0.00        0.00
     1:900     1.200     1.000       501     3.647     5.060      20.1      1579      49.3      41.6      48.5      46.7     11.20       1.0             0         1              0           4428            664        0.00        0.00
     1:950     1.200     1.000       501     3.695     5.032      20.1      1567      49.3      41.6      48.5      46.7     11.20       1.1             0         1              0           4428            664        0.00        0.00
     2:000     1.200     1.000       501     3.666     5.040      20.1      1572      49.3      41.6      48.5      46.7     11.20       1.0             0         1              0           4428            664        0.00        0.00
     2:050     1.200     1.000       501     3.702     5.038      20.1      1542      49.3      41.6      48.5      46.7     11.20       1.0             0         1              0           4428            664        0.00        0.00
     2:100     1.200     1.000       501     3.651     4.883      20.1      1586      49.3      41.6      48.5      46.7     11.22       1.0             0         1              0           4428            664        0.00        0.00
     2:150     1.200     1.000       501     3.701     4.846      20.1      1573      49.3      41.6      48.5      46.7     11.22       1.1             0         1              0           4428            664        0.00        0.00
     2:200     1.200     1.000       487     3.685     4.897      20.1      1533      49.3      41.6      48.5      46.6     11.20       1.1             0         1              0           4428            664        0.00        0.00
     2:250     1.200     1.000       487     3.678     4.826      20.1      1520      49.3      41.6      48.5      46.6     11.20       1.0             0         1              0           4428            664        0.00        0.00
     2:300     1.200     1.000       487     3.716     4.842      20.1      1534      49.3      41.5      48.5      46.6     11.13       1.0             0         1              0           4428            664        0.00        0.00
     2:350     1.200     1.000       487     3.705     4.888      20.1      1559      49.3      41.5      48.5      46.6     11.13       1.1             0         1              0           4428            664        0.00        0.00
     2:400     1.200     1.000       487     3.665     4.832      20.1      1567      49.3      41.5      48.5      46.6     11.20       1.1             0         1              0           4428            664        0.00        0.00
     2:450     1.200     1.000       487     3.689     4.837      20.1      1583      49.3      41.5      48.5      46.6     11.20       1.0             0         1              0           4428            664        0.00        0.00
     2:500     1.200     1.000       487     3.680     4.877      20.1      1595      49.3      41.5      48.5      46.6     11.22       1.0             0         1              0           4428            664        0.00        0.00
     2:550     1.200     1.000       487     3.700     4.851      20.1      1623      49.3      41.5      48.5      46.6     11.22       1.1             0         1              0           4428            664        0.00        0.00
     2:600     1.200     1.000       487     3.671     4.872      20.2      1601      49.3      41.5      48.5      46.6     11.23       1.1             0         1              0           4428            664        0.00        0.00
     2:650     1.200     1.000       487     3.684     4.909      20.2      1595      49.3      41.5      48.5      46.6     11.23       1.0             0         1              0           4428            664        0.00        0.00
     2:700     1.200     1.000       483     3.701     4.882      20.2      1614      48.9      41.5      48.5      46.6     11.19       1.1             0         1              0           4428            664        0.00        0.00
     2:750     1.200     1.000       483     3.674     4.865      20.2      1598      48.9      41.5      48.5      46.6     11.19       1.1             0         1              0           4428            664        0.00        0.00
