      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     1.000     1.381       914     2.976    -0.052      31.7         0      54.6      43.0      42.1      53.1     11.25       1.7             0         1              0           4401            624        0.00        0.00
     0:050     1.000     1.363       914     2.979    -0.048      31.7       101      54.6      43.0      42.1      53.1     11.25       1.7             0         1              0           4401            624        0.00        0.00
     0:100     1.000     1.253       914     2.715    -0.050      31.8       104      54.6      43.0      42.1      53.1     11.25       1.7             0         1              0           4401            624        0.00        0.00
     0:150     1.000     1.307       914     1.997    -0.047      32.0       104      54.6      43.0      42.1      53.1      9.75       1.7             0         1              0           4401            624        0.00        0.00
     0:200     1.000     1.328       914     1.842    -0.042      32.0        76      54.6      43.0      42.1      53.1      9.75       1.7             0         1              0           4401            624        0.00        0.00
     0:250     1.048     1.343       914     2.809    -0.041      32.0        54      54.6      42.9      42.1      53.1      9.56       1.5             0         1              0           4401            624        0.00        0.00
     0:300     1.094     1.280       914     3.125    -0.038      32.0        81      54.6      42.9      42.1      53.1      9.56       1.7             0         1              0           4401            624        0.00        0.00
     0:350     1.094     1.102       914     3.216    -0.037      32.0       125      54.6      42.9      42.1      53.1      8.61       1.7             0         1              0           4401            624        0.00        0.00
     0:400     1.119     1.233       914     3.276    -0.036      32.0        91      54.6      42.9      42.1      53.1      8.61       1.7             0         1              0           4401            624        0.00        0.00
     0:450     1.167     1.337       914     3.329    -0.034      32.0       218      54.6      42.8      42.1      53.1      9.66       1.5             0         1              0           4401            624        0.00        0.00
     0:500     1.167     1.333       914     3.330    -0.033      32.0       505      54.6      42.8      42.1      53.1      9.66       1.5             0         1              0           4401            624        0.00        0.00
     0:550     1.200     1.321       914     3.320    -0.026      32.0       707      54.6      42.8      42.1      53.1      9.43       1.5             0         1              0           4401            624        0.00        0.00
     0:600     1.200     1.363       914     3.356    -0.016      29.9      1173      54.6      42.8      42.1      53.1      9.43       1.7             0         1              0           4401            624        0.00        0.00
     0:650     1.200     1.376       914     3.366     0.015      17.4      1535      54.6      42.7      42.1      53.1     10.12       1.4             0         1              0           4401            624        0.00        0.00
     0:700     1.200     1.381       914     3.405     0.107      17.7      1729      54.6      42.7      42.1      53.1     10.12       1.4             0         1              0           4401            624        0.00        0.00
     0:750     1.200     1.383       914     3.404     0.286      21.7      1786      54.6      42.7      42.1      53.1     10.31       1.4             0         1              0           4401            624        0.00        0.00
     0:800     1.200     1.380       914     3.407     0.501      21.7      1862      54.6      42.7      42.1      53.1     10.31       1.5             0         1              0           4401            624        0.00        0.00
     0:850     1.200     1.286       914     3.416     0.658      19.7      1827      54.6      42.6      42.1      53.1     10.40       1.4             0         1              0           4401            624        0.00        0.00
     0:900     1.200     1.143       914     3.423     0.906      19.0      1780      54.6      42.6      42.1      53.1     10.40       1.4             0         1              0           4401            624        0.00        0.00
     0:950     1.200     1.046       438     3.456     1.201      19.2      1725      54.6      42.6      42.1      53.1     10.74       1.4             0         1              0           4401            624        0.00        0.00
     1:000     1.200     1.008       438     3.478     2.147      20.0      1659      54.6      42.6      42.1      53.1     10.74       1.4             0         1              0           4401            624        0.00        0.00
     1:050     1.200     1.001       438     3.489     3.971      20.3      1556      54.6      42.6      42.1      53.1     11.00       1.4             0         1              0           4401            624        0.00        0.00
     1:100     1.200     1.013       438     3.489     4.666      20.3      1472      54.6      42.6      42.1      53.1     11.00       1.4             0         1              0           4401            624        0.00        0.00
     1:150     1.200     1.063       438     3.505     4.897      20.3      1423      54.6      42.6      42.1      53.1     11.02       1.4             0         1              0           4401            624        0.00        0.00
     1:200     1.200     1.107       438     3.516     5.007      20.1      1360      54.6      42.6      42.1      53.1     11.02       1.4             0         1              0           4401            624        0.00        0.00
     1:250     1.200     1.068       438     3.487     4.994      20.1      1311      54.6      42.5      42.1      53.1     11.13       1.4             0         1              0           4401            624        0.00        0.00
     1:300     1.200     1.041       438     3.496     4.987      20.0      1279      54.6      42.5      42.1      53.1     11.13       1.4             0         1              0           4401            624        0.00        0.00
     1:350     1.200     1.025       438     3.503     4.955      20.0      1268      54.6      42.5      42.1      53.1     11.11       1.4             0         1              0           4401            624        0.00        0.00
     1:400     1.200     1.013       438     3.487     4.928      19.9      1215      54.6      42.5      42.1      53.1     11.11       1.4             0         1              0           4401            624        0.00        0.00
     1:450     1.200     1.003       547     3.505     4.924      19.9      1219      54.0      42.4      42.1      53.1     11.12       1.4             0         1              0           4401            624        0.00        0.00
     1:500     1.200     0.981       547     3.497     4.893      19.9      1190      54.0      42.4      42.1      53.1     11.12       1.4             0         1              0           4401            624        0.00        0.00
     1:550     1.200     0.988       547     3.494     4.876      19.9      1170      54.0      42.4      42.1      53.1     11.13       1.4             0         1              0           4401            624        0.00        0.00
     1:600     1.200     1.029       547     3.499     4.869      19.9      1151      54.0      42.4      42.1      53.1     11.13       1.4             0         1              0           4401            624        0.00        0.00
     1:650     1.200     1.072       547     3.498     4.856      19.9      1149      54.0      42.3      42.1      53.1     11.18       1.4             0         1              0           4401            624        0.00        0.00
     1:700     1.200     1.072       547     3.485     4.847      19.9      1131      54.0      42.3      42.1      53.1     11.18       1.4             0         1              0           4401            624        0.00        0.00
     1:750     1.200     1.085       547     3.498     4.864      19.9      1155      54.0      42.3      42.1      53.1     11.16       1.4             0         1              0           4401            624        0.00        0.00
     1:800     1.200     1.074       547     3.492     4.850      20.0      1120      54.0      42.3      42.1      53.1     11.16       1.4             0         1              0           4401            624        0.00        0.00
     1:850     1.200     1.090       547     3.498     4.845      20.0      1174      54.0      42.2      42.1      53.1     11.16       1.4             0         1              0           4401            624        0.00        0.00
     1:900     1.200     1.124       547     3.505     4.856      20.0      1142      54.0      42.2      42.1      53.1     11.16       1.4             0         1              0           4401            624        0.00        0.00
     1:950     1.200     1.157       589     3.503     4.864      20.1      1140      53.4      42.2      42.1      53.1     11.21       1.4             0         1              0           4401            624        0.00        0.00
     2:000     1.200     1.188       589     3.502     4.879      20.0      1101      53.4      42.2      42.1      53.1     11.21       1.4             0         1              0           4401            624        0.00        0.00
     2:050     1.200     1.212       589     3.500     4.858      20.1      1192      53.4      42.1      42.1      53.1     11.21       1.4             0         1              0           4401            624        0.00        0.00
     2:100     1.200     1.177       589     3.501     4.871      20.1      1161      53.4      42.1      42.1      53.1     11.21       1.4             0         1              0           4401            624        0.00        0.00
     2:150     1.200     1.183       589     3.499     4.854      20.1      1171      53.4      42.1      42.1      53.1     11.20       1.4             0         1              0           4401            624        0.00        0.00
     2:200     1.200     1.209       589     3.506     4.902      20.1      1144      53.4      42.1      42.1      53.1     11.20       1.4             0         1              0           4401            624        0.00        0.00
     2:250     1.200     1.215       589     3.510     4.859      20.1      1226      53.4      42.0      42.1      53.1     11.21       1.2             0         1              0           4401            624        0.00        0.00
