      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     1.000     1.384       911     2.107    -0.131      32.0        69      56.4      45.6      48.7      54.3      9.62       1.0             0         1             12           4355            634        0.00        0.00
     0:050     1.000     1.384       911     2.063    -0.132      32.0        96      56.4      45.6      48.7      54.3      9.62       1.0             0         1             12           4355            634        0.00        0.00
     0:100     1.000     1.384       911     1.810    -0.131      32.0       103      56.4      45.6      48.7      54.3      9.62       1.0             0         1             12           4355            634        0.00        0.00
     0:150     1.000     1.384       911     1.701    -0.128      32.0        88      56.4      45.6      48.7      54.3      9.62       1.0             0         1             12           4355            634        0.00        0.00
     0:200     1.000     1.384       911     2.174    -0.124      32.0        55      56.4      45.6      48.7      54.3      9.62       1.0             0         1             12           4355            634        0.00        0.00
     0:250     1.000     1.384       911     2.866    -0.123      32.0        44      56.4      45.6      48.7      54.3      9.62       1.0             0         1             12           4355            634        0.00        0.00
     0:300     1.107     1.383       911     3.292    -0.121      32.0        89      56.4      45.6      48.7      54.3      8.66       1.0             0         1             12           4355            634        0.00        0.00
     0:350     1.107     1.384       911     3.417    -0.122      32.0       119      56.4      45.6      48.7      54.3      8.66       1.0             0         1             12           4355            634        0.00        0.00
     0:400     1.160     1.384       911     3.488    -0.122      32.0        76      56.4      45.6      48.7      54.3      8.66       1.0             0         1             12           4355            634        0.00        0.00
     0:450     1.160     1.384       911     3.530    -0.119      32.0       108      56.4      45.6      48.7      54.3      8.66       1.0             0         1             12           4355            634        0.00        0.00
     0:500     1.200     1.384       911     3.533    -0.119      32.0       141      56.4      45.6      48.7      54.3      9.43       1.0             0         1             12           4355            634        0.00        0.00
     0:550     1.200     1.384       911     3.568    -0.120      32.0       101      56.4      45.6      48.7      54.3      9.43       1.0             0         1             12           4355            634        0.00        0.00
     0:600     1.200     1.384       911     3.605    -0.116      32.0       175      56.4      45.6      48.7      54.3      9.43       1.0             0         1             12           4355            634        0.00        0.00
     0:650     1.200     1.384       911     3.619    -0.117      32.0       131      56.4      45.6      48.7      54.3      9.43       1.0             0         1             12           4355            634        0.00        0.00
     0:700     1.200     1.384       911     3.653    -0.114      32.0       570      56.4      45.6      48.7      54.3      9.98       1.0             0         1             12           4355            634        0.00        0.00
     0:750     1.200     1.384       911     3.657    -0.118      32.0       876      56.4      45.6      48.7      54.3      9.98       1.0             0         1             12           4355            634        0.00        0.00
     0:800     1.200     1.384       911     3.665    -0.101      23.2      1496      56.4      45.6      48.7      54.3      9.98       1.0             0         1             12           4355            634        0.00        0.00
     0:850     1.200     1.384       911     3.667    -0.049      17.5      1511      56.4      45.6      48.7      54.3      9.98       1.0             0         1             12           4355            634        0.00        0.00
     0:900     1.200     1.384       911     3.668     0.057      19.2      1567      56.4      45.6      48.7      54.3     10.58       1.0             0         1             12           4355            634        0.00        0.00
     0:950     1.200     1.384       911     3.709     0.156      21.1      1623      56.4      45.6      48.7      54.3     10.58       1.0             0         1             12           4355            634        0.00        0.00
     1:000     1.200     1.384       911     3.725     0.217      21.0      1741      56.4      45.6      48.7      54.3     10.58       1.0             0         1             12           4355            634        0.00        0.00
     1:050     1.200     1.384       911     3.722     0.237      19.8      1801      56.4      45.6      48.7      54.3     10.58       1.0             0         1             12           4355            634        0.00        0.00
     1:100     1.200     1.384       911     3.754     0.353      19.6      1831      56.4      45.6      48.7      54.3     11.36       1.0             0         1             12           4355            634        0.00        0.00
     1:150     1.200     1.359       911     3.775     0.793      19.6      1782      56.4      45.6      48.7      54.3     11.36       1.0             0         1             12           4355            634        0.00        0.00
