      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     1.000     1.000       462     7.350    -0.087      32.0        63      42.0      48.2      49.1      54.3     11.44       1.0             0         1              0           4422            624        0.00        0.00
     0:050     1.000     0.990       462     7.350    -0.087      32.0        98      42.0      48.2      49.1      54.3     11.44       1.0             0         1              0           4422            624        0.00        0.00
     0:100     1.000     0.960       462     7.345    -0.087      32.0        93      42.0      48.2      49.1      54.3     11.44       1.0             0         1              0           4422            624        0.00        0.00
     0:150     1.000     0.985       462     7.334    -0.088      32.0        91      42.0      48.2      49.1      54.3     10.41       1.0             0         1              0           4422            624        0.00        0.00
     0:200     1.014     0.976       462     7.339    -0.087      32.2       111      42.0      48.2      49.1      54.3     10.41       1.0             0         1              0           4422            624        0.00        0.00
     0:250     1.026     0.973       462     7.336    -0.084      32.0        81      42.0      48.2      49.1      54.3     10.02       1.0             0         1              0           4422            624        0.00        0.00
     0:300     1.026     0.990       462     7.326    -0.082      32.0        67      42.0      48.2      49.1      54.3     10.02       1.0             0         1              0           4422            624        0.00        0.00
     0:350     1.040     0.969       462     7.337    -0.080      32.0       128      42.0      48.2      49.1      54.3      9.87       1.0             0         1              0           4422            624        0.00        0.00
     0:400     1.040     0.943       462     7.340    -0.080      32.0       112      42.0      48.2      49.1      54.3      9.87       1.0             0         1              0           4422            624        0.00        0.00
     0:450     1.049     0.978       462     7.326    -0.079      32.0       110      42.0      48.2      49.1      54.3     10.16       1.0             0         1              0           4422            624        0.00        0.00
     0:500     1.063     0.991       462     7.320    -0.078      32.0       128      42.0      48.2      49.1      54.3     10.16       1.0             0         1              0           4422            624        0.00        0.00
     0:550     1.063     0.992       463     7.326    -0.078      32.0       113      42.0      48.2      49.1      54.3     10.23       1.0             0         1              0           4422            624        0.00        0.00
     0:600     1.077     0.998       463     7.320    -0.077      32.0       169      42.0      48.2      49.1      54.3     10.23       1.0             0         1              0           4422            624        0.00        0.00
     0:650     1.092     1.000       463     7.327    -0.074      32.0       211      42.0      48.2      49.1      54.3     10.34       1.0             0         1              0           4422            624        0.00        0.00
     0:700     1.092     1.000       463     7.313    -0.072      31.9       758      42.0      48.2      49.1      54.3     10.34       1.0             0         1              0           4422            624        0.00        0.00
     0:750     1.107     1.000       463     7.280    -0.075      31.9      1292      42.0      48.2      49.1      54.3     10.45       1.0             0         1              0           4422            624        0.00        0.00
     0:800     1.107     1.000       463     6.977    -0.071      17.3      1838      42.0      48.2      49.1      54.3     10.45       1.0             0         1              0           4422            624        0.00        0.00
     0:850     1.123     1.000       463     6.269    -0.022      17.6      2052      42.0      48.3      49.1      54.3     10.58       1.0             0         1              0           4422            624        0.00        0.00
     0:900     1.135     1.000       463     4.758     0.092      21.0      2074      42.0      48.3      49.1      54.3     10.58       1.0             0         1              0           4422            624        0.00        0.00
     0:950     1.135     1.000       463     3.387     0.213      21.3      2013      42.0      48.3      49.1      54.3     10.88       1.0             0         1              0           4422            624        0.00        0.00
     1:000     1.150     1.000       463     2.531     0.326      20.5      1964      42.0      48.3      49.1      54.3     10.88       1.0             0         1              0           4422            624        0.00        0.00
     1:050     1.165     1.001       530     2.113     0.430      19.8      1894      42.0      48.3      49.1      54.3     11.36       1.0             0         1              0           4422            624        0.00        0.00
     1:100     1.165     1.000       530     1.923     0.630      19.5      1812      42.0      48.3      49.1      54.3     11.36       1.0             0         1              0           4422            624        0.00        0.00
     1:150     1.180     1.000       530     1.821     1.388      19.5      1741      42.0      48.3      49.1      54.3     11.43       1.0             0         1              0           4422            624        0.00        0.00
     1:200     1.180     1.000       530     1.782     2.501      19.6      1634      42.0      48.3      49.1      54.3     11.43       1.0             0         1              0           4422            624        0.00        0.00
     1:250     1.194     1.000       530     1.827     3.647      19.9      1542      42.0      48.4      49.1      54.3     11.45       1.0             0         1              0           4422            624        0.00        0.00
     1:300     1.200     1.000       530     1.954     4.009      20.0      1509      42.0      48.4      49.1      54.3     11.45       1.0             0         1              0           4422            624        0.00        0.00
     1:350     1.200     1.001       530     2.138     4.111      20.1      1479      42.0      48.4      49.1      54.3     11.52       1.0             0         1              0           4422            624        0.00        0.00
     1:400     1.200     1.001       530     2.357     4.162      20.1      1493      42.0      48.4      49.1      54.3     11.52       1.0             0         1              0           4422            624        0.00        0.00
     1:450     1.200     1.000       530     2.531     4.160      20.3      1502      42.0      48.4      49.1      54.3     11.58       1.0             0         1              0           4422            624        0.00        0.00
     1:500     1.200     1.000       530     2.648     4.163      20.1      1464      42.0      48.4      49.1      54.3     11.58       1.0             0         1              0           4422            624        0.00        0.00
     1:550     1.200     1.000       531     2.695     4.161      20.1      1479      42.0      48.4      49.1      54.3     11.60       1.0             0         1              0           4422            624        0.00        0.00
     1:600     1.200     1.000       531     2.754     4.156      20.1      1458      42.0      48.4      49.1      54.3     11.60       1.0             0         1              0           4422            624        0.00        0.00
     1:650     1.200     1.000       531     2.801     4.179      20.0      1461      42.0      48.4      49.1      54.3     11.52       1.0             0         1              0           4422            624        0.00        0.00
     1:700     1.200     1.000       531     2.869     4.144      20.0      1458      42.0      48.4      49.1      54.3     11.52       1.0             0         1              0           4422            624        0.00        0.00
     1:750     1.200     1.000       531     2.900     4.116      20.0      1462      42.0      48.4      49.1      54.3     11.54       1.0             0         1              0           4422            624        0.00        0.00
     1:800     1.200     1.000       531     2.884     4.152      20.0      1459      42.0      48.4      49.1      54.3     11.54       1.0             0         1              0           4422            624        0.00        0.00
     1:850     1.200     1.001       531     2.878     4.170      20.0      1476      42.0      48.4      49.1      54.3     11.45       1.0             0         1              0           4422            624        0.00        0.00
     1:900     1.200     1.001       531     2.912     4.186      20.0      1483      42.0      48.4      49.1      54.3     11.45       1.0             0         1              0           4422            624        0.00        0.00
     1:950     1.200     1.001       531     2.900     4.170      20.0      1462      42.0      48.4      49.1      54.3     11.55       1.0             0         1              0           4422            624        0.00        0.00
     2:000     1.200     1.000       531     2.884     4.183      20.0      1440      42.0      48.4      49.1      54.3     11.55       1.0             0         1              0           4422            624        0.00        0.00
     2:050     1.200     1.000       532     2.865     4.192      20.0      1462      41.5      48.3      49.1      54.3     11.57       1.0             0         1              0           4422            624        0.00        0.00
     2:100     1.200     1.000       532     2.889     4.196      20.0      1454      41.5      48.3      49.1      54.3     11.57       1.0             0         1              0           4422            624        0.00        0.00
     2:150     1.200     1.000       532     2.912     4.187      20.0      1464      41.5      48.3      49.1      54.3     11.57       1.0             0         1              0           4422            624        0.00        0.00
     2:200     1.200     1.001       532     2.894     4.173      20.0      1483      41.5      48.3      49.1      54.3     11.57       1.0             0         1              0           4422            624        0.00        0.00
     2:250     1.200     1.001       532     2.888     4.162      20.0      1479      41.5      48.3      49.1      54.3     11.47       1.0             0         1              0           4422            624        0.00        0.00
     2:300     1.200     1.000       532     2.891     4.177      20.0      1487      41.5      48.3      49.1      54.3     11.47       1.0             0         1              0           4422            624        0.00        0.00
     2:350     1.200     1.001       532     2.896     4.196      20.0      1469      41.5      48.3      49.1      54.3     11.51       1.0             0         1              0           4422            624        0.00        0.00
     2:400     1.200     1.000       532     2.897     4.205      20.0      1488      41.5      48.3      49.1      54.3     11.51       1.0             0         1              0           4422            624        0.00        0.00
     2:450     1.200     1.000       532     2.887     4.187      20.0      1463      41.5      48.3      49.1      54.3     11.58       1.0             0         1              0           4422            624        0.00        0.00
     2:500     1.200     1.001       532     2.876     4.190      20.1      1466      41.5      48.3      49.1      54.3     11.58       1.0             0         1              0           4422            624        0.00        0.00
     2:550     1.200     1.000       533     2.881     4.205      20.1      1464      41.5      48.3      49.1      54.3     11.52       1.0             0         1              0           4422            624        0.00        0.00
     2:600     1.200     1.000       533     2.928     4.186      20.1      1458      41.5      48.3      49.1      54.3     11.52       1.0             0         1              0           4422            624        0.00        0.00
     2:650     1.200     1.001       533     2.940     4.184      20.3      1497      41.5      48.2      49.1      54.3     11.57       1.0             0         1              0           4422            624        0.00        0.00
     2:700     1.200     1.000       533     2.935     4.188      20.3      1478      41.5      48.2      49.1      54.3     11.57       1.0             0         1              0           4422            624        0.00        0.00
