      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     0.000     0.000       908     0.000     0.000      20.6       151      57.7      49.1      58.7      74.7     10.51       0.0             0         2             12           4370            629        0.00        0.00
     0:050     0.000     1.365       908     3.515     0.014      20.4       144      57.7      49.1      58.7      74.7     10.51       1.0             0         2             12           4370            629        0.00        0.00
     0:100     1.000     1.377       908     3.525     0.019      20.4       135      57.7      49.1      58.7      74.7     10.51       1.0             0         2             12           4370            629        0.00        0.00
     0:150     1.000     1.381       908     3.527     0.021      20.7       122      57.7      49.1      58.7      74.7     10.51       1.0             0         2             12           4370            629        0.00        0.00
     0:200     1.053     1.383       908     3.531     0.018      21.1       148      57.7      49.1      58.7      74.7     10.51       1.0             0         2             12           4370            629        0.00        0.00
     0:250     1.053     1.384       908     3.530     0.023      21.4       144      57.7      49.1      58.7      74.7     10.51       1.0             0         2             12           4370            629        0.00        0.00
     0:300     1.107     1.384       908     3.521     0.026      21.4       170      57.7      49.1      58.6      74.7     10.50       1.0             0         2             12           4370            629        0.00        0.00
     0:350     1.107     1.384       908     3.526     0.032      21.4       132      57.7      49.1      58.6      74.7     10.50       1.0             0         2             12           4370            629        0.00        0.00
     0:400     1.160     1.384       908     3.520     0.031      21.1       135      57.7      49.1      58.6      74.7     10.50       1.0             0         2             12           4370            629        0.00        0.00
     0:450     1.160     1.384       908     3.526     0.027      20.7       135      57.7      49.1      58.6      74.7     10.50       2.8             0         2             12           4370            629        0.00        0.00
     0:500     1.200     1.384       908     3.524     0.021      20.6       145      57.7      49.1      58.6      74.7     10.46       8.8             0         2             12           4370            629        0.00        0.00
     0:550     1.200     1.384       908     3.529     0.019      21.0       147      57.7      49.1      58.6      74.7     10.46      15.1             0         2             12           4370            629        0.00        0.00
     0:600     1.200     1.384       908     3.529     0.014      35.2       146      57.7      49.1      58.6      74.7     10.46      29.5             0         2             12           4370            629        0.00        0.00
     0:650     1.200     1.384       908     3.531     0.010      45.1       146      57.7      49.1      58.6      74.7     10.46      51.3             0         2             12           4370            629        0.00        0.00
